time,track,range,angle,rangerate,latrate,power
25.6005349159,38,26.0,-33.6,0.0,0.0,7
25.6005349159,37,76.6,3.9,-0.02,0.75,6
25.6005349159,16,49.7,12.6,0.01,-0.25,13
25.6505088806,25,60.1,7.8,-0.02,-0.5,3
25.6505088806,38,26.3,-34.4,-0.02,-0.25,5
25.6505088806,16,49.9,12.9,-0.02,-0.25,12
25.6505088806,37,76.6,4.3,0.0,0.75,8
25.6505088806,53,58.7,-11.7,-0.02,-0.25,10
25.7005479336,25,58.7,10.1,0.0,-0.5,12
25.7005479336,38,26.1,-32.2,-0.01,0.0,5
25.7005479336,16,49.7,13.1,0.01,-0.25,13
25.7505910397,46,50.4,8.0,-0.01,1.25,2
25.7505910397,25,59.1,7.6,-0.01,-0.5,11
25.7505910397,38,26.2,-34.4,0.0,0.0,4
25.7505910397,16,49.8,12.5,-0.02,-0.25,12
25.8005378246,25,58.6,7.5,0.0,-0.75,10
25.8005378246,38,26.1,-33.7,0.0,0.0,5
25.8005378246,16,49.5,13.8,-0.01,-0.25,13
25.8505239487,25,59.7,7.9,-0.02,-0.75,3
25.8505239487,38,25.9,-34.1,-0.01,-0.25,5
25.8505239487,16,49.8,13.1,-0.01,-0.25,14
25.8505239487,46,50.4,7.2,-0.01,1.0,2
25.8505239487,53,58.6,-12.7,-0.01,-0.25,11
25.9005558491,25,59.5,8.3,-0.02,-0.75,1
25.9005558491,38,25.9,-33.3,-0.01,0.0,6
25.9005558491,16,49.5,13.8,0.0,-0.25,14
25.9005558491,46,50.4,7.8,-0.01,1.0,1
25.9005558491,53,58.6,-11.2,-0.01,0.5,11
25.9005558491,9,72.0,3.2,-0.02,-0.75,4
25.9505698681,46,50.5,7.8,-0.01,0.75,1
25.9505698681,38,26.1,-34.2,0.01,-0.25,5
25.9505698681,16,49.8,15.1,0.02,0.0,12
26.000592947,46,50.6,7.9,-0.01,0.75,2
26.000592947,38,26.0,-33.1,-0.01,0.0,6
26.000592947,16,49.4,13.2,-0.01,0.0,13
26.0505349636,46,50.2,7.8,-0.01,0.75,1
26.0505349636,38,26.0,-34.5,0.01,0.0,6
26.0505349636,53,58.4,-14.0,-0.01,-0.5,13
26.0505349636,16,49.8,14.6,-0.01,0.25,13
